"Run 1: Time (s)","Run 1: Gate State","Run 1: Distance (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s^2)","Run 2: Time (s)","Run 2: Gate State","Run 2: Distance (m)","Run 2: Velocity (m/s)","Run 2: Acceleration (m/s^2)","Run 3: Time (s)","Run 3: Gate State","Run 3: Distance (m)","Run 3: Velocity (m/s)","Run 3: Acceleration (m/s^2)","Run 4: Time (s)","Run 4: Gate State","Run 4: Distance (m)","Run 4: Velocity (m/s)","Run 4: Acceleration (m/s^2)"
0.00000,0,0.000,,,0.00000,1,0.000,,,0.00000,1,0.000,,,0.00000,1,0.000,,
0.00797,1,,,,0.00912,0,,,,0.01783,0,,,,0.02188,0,,,
0.01654,0,0.015,0.908,0.06,0.01756,1,0.015,0.856,0.21,0.02876,1,0.015,0.725,14.16,0.03353,1,0.015,0.895,26.68
0.02443,1,,,,0.02660,0,,,,0.03836,0,,,,0.04233,0,,,
0.03306,0,0.030,0.908,-0.03,0.03505,1,0.030,0.858,-0.03,0.04641,1,0.030,0.900,5.61,0.04742,1,0.030,1.901,118.29
0.04097,1,,,,0.04407,0,,,,0.05467,0,,,,0.05129,0,,,
0.04958,0,0.045,0.907,-0.09,0.05254,1,0.045,0.856,-0.13,0.06229,1,0.045,0.944,0.01,0.05397,1,0.045,2.642,107.84
0.05754,1,,,,0.06159,0,,,,0.07056,0,,,,0.05666,0,,,
0.06614,0,0.060,0.904,-0.24,0.07009,1,0.060,0.855,-0.02,0.07818,1,0.060,0.944,-0.10,0.05911,1,0.060,2.927,2.78
0.07415,1,,,,0.07912,0,,,,0.08640,0,,,,0.06177,0,,,
0.08277,0,0.075,0.901,-0.11,0.08763,1,0.075,0.854,-0.14,0.09409,1,0.075,0.942,-0.04,0.06422,1,0.075,2.934,-0.00
0.09076,1,,,,0.09680,0,,,,0.10237,0,,,,0.06687,0,,,
0.09943,0,0.090,0.900,0.03,0.10523,1,0.090,0.850,-0.31,0.11001,1,0.090,0.941,-0.13,0.06934,1,0.090,2.923,-4.00
0.10746,1,,,,0.11448,0,,,,0.11834,0,,,,0.07201,0,,,
0.11608,0,0.105,0.901,0.04,0.12294,1,0.105,0.846,-0.08,0.12597,1,0.105,0.938,-0.32,0.07448,1,0.105,2.912,-0.33
0.12413,1,,,,0.13216,0,,,,0.13436,0,,,,0.07715,0,,,
