Run 1: Time (s),Run 1: Gate State,Run 1: Distance (m),Run 1: Velocity (m/s),Run 1: Acceleration (m/s^2),Run 2: Time (s),Run 2: Gate State,Run 2: Distance (m),Run 2: Velocity (m/s),Run 2: Acceleration (m/s^2),Run 3: Time (s),Run 3: Gate State,Run 3: Distance (m),Run 3: Velocity (m/s),Run 3: Acceleration (m/s^2),Run 4: Time (s),Run 4: Gate State,Run 4: Distance (m),Run 4: Velocity (m/s),Run 4: Acceleration (m/s^2)
0.016,0.0,0.015,0.908,0.06,0.017,1.0,0.015,0.856,0.21,0.028,1.0,0.015,0.725,14.16,0.033,1.0,0.015,0.895,26.68
0.033,0.0,0.03,0.908,-0.03,0.035,1.0,0.03,0.858,-0.03,0.046,1.0,0.03,0.9,5.61,0.047,1.0,0.03,1.901,118.29
0.049,0.0,0.045,0.907,-0.09,0.052,1.0,0.045,0.856,-0.13,0.062,1.0,0.045,0.944,0.01,0.053,1.0,0.045,2.642,107.84
0.066,0.0,0.06,0.904,-0.24,0.07,1.0,0.06,0.855,-0.02,0.078,1.0,0.06,0.944,-0.1,0.059,1.0,0.06,2.927,2.78
0.082,0.0,0.075,0.901,-0.11,0.087,1.0,0.075,0.854,-0.14,0.094,1.0,0.075,0.942,-0.04,0.064,1.0,0.075,2.934,0.0
0.099,0.0,0.09,0.9,0.03,0.105,1.0,0.09,0.85,-0.31,0.11,1.0,0.09,0.941,-0.13,0.069,1.0,0.09,2.923,-4.0
0.116,0.0,0.105,0.901,0.04,0.122,1.0,0.105,0.846,-0.08,0.125,1.0,0.105,0.938,-0.32,0.074,1.0,0.105,2.912,-0.33
0.132,0.0,0.12,0.9,-0.19,0.14,1.0,0.12,0.843,-0.22,0.142,1.0,0.12,0.933,-0.21,0.079,1.0,0.12,2.908,-1.53
0.149,0.0,0.135,0.898,0.02,0.158,1.0,0.135,0.843,0.18,0.158,1.0,0.135,0.933,0.24,0.084,1.0,0.135,2.901,-1.19
0.166,0.0,0.15,0.894,-0.47,0.176,1.0,0.15,0.841,-0.4,0.174,1.0,0.15,0.934,-0.2,0.089,1.0,0.15,2.9,0.87
0.182,0.0,0.165,0.891,0.04,0.194,1.0,0.165,0.839,0.2,0.19,1.0,0.165,0.932,0.01,0.095,1.0,0.165,2.903,0.33
0.199,0.0,0.18,0.891,-0.06,0.212,1.0,0.18,0.841,-0.02,0.206,1.0,0.18,0.931,-0.2,0.1,1.0,0.18,2.902,-0.65
0.216,0.0,0.195,0.889,-0.07,0.229,1.0,0.195,0.84,-0.13,0.222,1.0,0.195,0.928,-0.19,0.105,1.0,0.195,2.903,1.2
0.233,0.0,0.21,0.887,-0.24,0.247,1.0,0.21,0.838,-0.01,0.238,1.0,0.21,0.925,-0.17,0.11,1.0,0.21,2.904,-0.98
0.25,0.0,0.225,0.884,-0.12,0.265,1.0,0.225,0.837,-0.14,0.254,1.0,0.225,0.923,-0.02,0.115,1.0,0.225,2.91,3.4
0.267,0.0,0.24,0.883,0.05,0.283,1.0,0.24,0.833,-0.3,0.271,1.0,0.24,0.923,-0.04,0.12,1.0,0.24,2.901,-6.94
0.284,0.0,0.255,0.884,0.05,0.301,1.0,0.255,0.829,-0.1,0.287,1.0,0.255,0.92,-0.3,0.126,1.0,0.255,2.887,1.71
0.301,0.0,0.27,0.883,-0.17,0.319,1.0,0.27,0.827,-0.19,0.303,1.0,0.27,0.915,-0.22,0.131,1.0,0.27,2.888,-1.5
0.318,0.0,0.285,0.881,0.0,0.337,1.0,0.285,0.826,0.15,0.32,1.0,0.285,0.916,0.24,0.136,1.0,0.285,2.879,-1.8
0.335,0.0,0.3,0.878,-0.46,0.356,1.0,0.3,0.824,-0.35,0.336,1.0,0.3,0.916,-0.19,0.141,1.0,0.3,2.877,1.06
0.352,0.0,0.315,0.874,0.04,0.374,1.0,0.315,0.823,0.17,0.352,1.0,0.315,0.914,0.01,0.146,1.0,0.315,2.882,0.64
0.369,0.0,0.33,0.874,-0.07,0.392,1.0,0.33,0.824,0.01,0.369,1.0,0.33,0.913,-0.24,0.152,1.0,0.33,2.881,-0.96
0.386,0.0,0.345,0.872,-0.07,0.41,1.0,0.345,0.823,-0.13,0.385,1.0,0.345,0.909,-0.26,0.157,1.0,0.345,2.883,1.6
